"Gioco","Piattaforma","VotoMetacritic","UserScore","Genre","Players"
METAL GEAR SOLID HD COLLECTION,PS3,89,89,Miscellaneous,Up to 6 
MIRROR'S EDGE,PS3,79,77,Action,1 Player
MONKEY ISLAND 2 SPECIAL EDITION: LECHUCK’S REVENGE,PS3,87,80,Adventure,
MORTAL KOMBAT KOMPLETE EDITION,PS3,77,85,Action,
MOTOGP 15,PS3,-1,-1,Racing,Up to 12 
MOTORCYCLE CLUB,PS3,-1,-1,Driving,
MOTORSTORM APOCALYPSE,PS3,77,78,Driving,Up to 16 
MOTORSTORM RC COMPLETE EDITION,PS3,-1,63,Driving,
MX VS ATV: ALIVE,PS3,61,68,Driving,Up to 12 
MX VS ATV: UNTAMED,PS3,67,66,Driving,Up to 8 
MX VS. ATV: REFLEX,PS3,74,73,Driving,Up to 12 
MXGP – THE OFFICIAL MOTOCROSS VIDEOGAME,PS3,67,68,Driving,
NASCAR HEAT 3,PS4,64,54,Racing,Up to 40 
NASCAR HEAT 4,PS4,70,53,Racing,Up to 40 
NATURAL DOCTRINE,PS4,53,61,Strategy,2 
NBA 2K18,PS4,80,17,Arcade,Up to 10 
NEON CHROME,PS4,63,65,Action,
NEUROVOIDER,PS4,76,62,Action,
NIDHOGG,PS4,-1,62,Action,
NIGHTMARES FROM THE DEEP: THE CURSED HEART,PS4,58,62,Puzzle,
NIGHTMARES FROM THE DEEP 2: THE SIREN`S CALL,PS4,-1,53,Puzzle,
NINJA PIZZA GIRL,PS4,-1,-1,Action,
NIGHTS OF AZURE,PS4,67,72,Role-Playing,No Online Multiplayer
NIGHTS OF AZURE 2: BRIDE OF THE NEW MOON,PS4,66,70,Action,No Online Multiplayer
NO TIME TO EXPLAIN,PS4,-1,-1,Action,
NOM NOM GALAXY,PS4,70,68,Action,Up to 4 
NOVA-111,PS4,73,50,Sci-Fi,
NEED FOR SPEED RIVALS,PS3,80,52,Driving,Up to 6 
NIGHTS INTO DREAMS,PS3,75,75,Platformer,No Online Multiplayer
NINJA GAIDEN 3: RAZOR'S EDGE,PS3,67,71,Action,8  Online
NINJA GAIDEN SIGMA 2,PS3,83,78,Action Adventure,2 
NOBUNAGA'S AMBITION : SPHERE OF INFLUENCE,PS3,-1,74,Strategy,
